V1,V2,V3
-124.614525139665,49.9663865546218,465.157501220703
-124.597765363128,49.9663865546218,475.627502441406
-124.581005586592,49.9663865546218,492.747497558594
-124.564245810056,49.9663865546218,361.257507324219
-124.54748603352,49.9663865546218,52.5175018310547
-124.530726256983,49.9663865546218,81.2638397216797
-124.513966480447,49.9663865546218,147.573837280273
-124.497206703911,49.9663865546218,346.793823242188
-124.480446927374,49.9663865546218,715.15380859375
-124.463687150838,49.9663865546218,888.063842773438
-124.446927374302,49.9663865546218,508.823822021484
-124.430167597765,49.9663865546218,200.373840332031
-124.413407821229,49.9663865546218,189.973831176758
-124.396648044693,49.9663865546218,456.885162353516
-124.379888268156,49.9663865546218,501.635162353516
-124.36312849162,49.9663865546218,427.065185546875
-124.346368715084,49.9663865546218,461.095184326172
-124.329608938547,49.9663865546218,396.175170898438
-124.312849162011,49.9663865546218,183.205169677734
-124.296089385475,49.9663865546218,329.835174560547
-124.279329608939,49.9663865546218,499.645172119141
-124.262569832402,49.9663865546218,667.810729980469
-124.245810055866,49.9663865546218,962.210754394531
-124.22905027933,49.9663865546218,629.360717773438
-124.212290502793,49.9663865546218,834.610717773438
-124.195530726257,49.9663865546218,890.7607421875
-124.178770949721,49.9663865546218,858.660766601562
-124.162011173184,49.9663865546218,832.330749511719
-124.145251396648,49.9663865546218,828.610717773438
-124.128491620112,49.9663865546218,962.304992675781
-124.111731843575,49.9663865546218,915.39501953125
-124.094972067039,49.9663865546218,596.724975585938
-124.078212290503,49.9663865546218,478.065002441406
-124.061452513966,49.9663865546218,1067.00500488281
-124.04469273743,49.9663865546218,687.054992675781
-124.027932960894,49.9663865546218,354.575012207031
-124.011173184358,49.9663865546218,281.665008544922
-123.994413407821,49.9663865546218,-55.4199981689453
-123.977653631285,49.9663865546218,-34.0099983215332
-123.960893854749,49.9663865546218,649.849975585938
-123.944134078212,49.9663865546218,1049.89001464844
-123.927374301676,49.9663865546218,1414.31994628906
-123.91061452514,49.9663865546218,1074.89001464844
-123.893854748603,49.9663865546218,960.760009765625
-123.877094972067,49.9663865546218,802.859985351562
-123.860335195531,49.9663865546218,846.181762695312
-123.843575418994,49.9663865546218,919.661804199219
-123.826815642458,49.9663865546218,835.82177734375
-123.810055865922,49.9663865546218,927.631774902344
-123.793296089385,49.9663865546218,1025.51171875
-123.776536312849,49.9663865546218,1247.58178710938
-123.759776536313,49.9663865546218,1284.18176269531
-123.743016759777,49.9663865546218,1136.79174804688
-123.72625698324,49.9663865546218,668.356994628906
-123.709497206704,49.9663865546218,582.986999511719
-123.692737430168,49.9663865546218,939.036987304688
-123.675977653631,49.9663865546218,1190.64697265625
-123.659217877095,49.9663865546218,1295.35693359375
-123.642458100559,49.9663865546218,1279.49694824219
-123.625698324022,49.9663865546218,1000.28698730469
-123.608938547486,49.9663865546218,1305.82702636719
-123.59217877095,49.9663865546218,1589.38647460938
-123.575418994413,49.9663865546218,1384.11645507812
-123.558659217877,49.9663865546218,1289.68640136719
-123.541899441341,49.9663865546218,1187.41650390625
-123.525139664804,49.9663865546218,1087.69641113281
-123.508379888268,49.9663865546218,843.526428222656
-123.491620111732,49.9663865546218,1263.12646484375
-123.474860335196,49.9663865546218,1150.23645019531
-123.458100558659,49.9663865546218,969.287963867188
-123.441340782123,49.9663865546218,601.367980957031
-123.424581005587,49.9663865546218,641.157958984375
-123.40782122905,49.9663865546218,1009.93798828125
-123.391061452514,49.9663865546218,1222.42797851562
-123.374301675978,49.9663865546218,1429.07800292969
-123.357541899441,49.9663865546218,1552.16796875
-123.340782122905,49.9663865546218,1224.21801757812
-123.324022346369,49.9663865546218,591.47802734375
-123.307262569832,49.9663865546218,60.9080123901367
-123.290502793296,49.9663865546218,437.468017578125
-123.27374301676,49.9663865546218,901.618041992188
-123.256983240223,49.9663865546218,745.858032226562
-123.240223463687,49.9663865546218,934.9580078125
-123.223463687151,49.9663865546218,983.088012695312
-123.206703910615,49.9663865546218,883.428039550781
-123.189944134078,49.9663865546218,694.778015136719
-123.173184357542,49.9663865546218,525.838012695312
-123.156424581006,49.9663865546218,350.907989501953
-123.139664804469,49.9663865546218,454.278015136719
-123.122905027933,49.9663865546218,635.828002929688
-123.106145251397,49.9663865546218,920.93798828125
-123.08938547486,49.9663865546218,1315.31799316406
-123.072625698324,49.9663865546218,1581.09802246094
-123.055865921788,49.9663865546218,1697.11791992188
-123.039106145251,49.9663865546218,1707.22802734375
-123.022346368715,49.9663865546218,1836.35803222656
-123.005586592179,49.9663865546218,1908.88793945312
-122.988826815642,49.9663865546218,1964.00793457031
-122.972067039106,49.9663865546218,1984.65795898438
-122.95530726257,49.9663865546218,1694.51794433594
-122.938547486034,49.9663865546218,1852.2080078125
-122.921787709497,49.9663865546218,2048.62915039062
-122.905027932961,49.9663865546218,1782.44921875
-122.888268156425,49.9663865546218,1794.16918945312
-122.871508379888,49.9663865546218,1310.27917480469
-122.854748603352,49.9663865546218,1449.67919921875
-122.837988826816,49.9663865546218,1678.03918457031
-122.821229050279,49.9663865546218,1246.92919921875
-122.804469273743,49.9663865546218,1674.51916503906
-122.787709497207,49.9663865546218,1769.45629882812
-122.77094972067,49.9663865546218,1672.84631347656
-122.754189944134,49.9663865546218,1935.49621582031
-122.737430167598,49.9663865546218,2018.68627929688
-122.720670391061,49.9663865546218,2024.486328125
-122.703910614525,49.9663865546218,2323.03637695312
-122.687150837989,49.9663865546218,2284.14624023438
-122.670391061453,49.9663865546218,1887.85632324219
-122.653631284916,49.9663865546218,1849.16101074219
-122.63687150838,49.9663865546218,1975.46105957031
-122.620111731844,49.9663865546218,1650.16101074219
-122.603351955307,49.9663865546218,1367.38098144531
-122.586592178771,49.9663865546218,1804.99096679688
-122.569832402235,49.9663865546218,1805.66101074219
-122.553072625698,49.9663865546218,1676.48107910156
-122.536312849162,49.9663865546218,1242.99096679688
-122.519553072626,49.9663865546218,511.013031005859
-122.502793296089,49.9663865546218,950.223022460938
-122.486033519553,49.9663865546218,1011.22302246094
-122.469273743017,49.9663865546218,734.5830078125
-122.45251396648,49.9663865546218,592.243041992188
-122.435754189944,49.9663865546218,346.163024902344
-122.418994413408,49.9663865546218,215.203033447266
-122.402234636872,49.9663865546218,689.243041992188
-122.385474860335,49.9663865546218,1138.72436523438
-122.368715083799,49.9663865546218,912.5244140625
-122.351955307263,49.9663865546218,528.484375
-122.335195530726,49.9663865546218,1137.064453125
-122.31843575419,49.9663865546218,1300.24438476562
-122.301675977654,49.9663865546218,1475.564453125
-122.284916201117,49.9663865546218,1874.79443359375
-122.268156424581,49.9663865546218,1998.0244140625
-122.251396648045,49.9663865546218,1884.55004882812
-122.234636871508,49.9663865546218,1663.35009765625
-122.217877094972,49.9663865546218,1566.330078125
-122.201117318436,49.9663865546218,1695.97009277344
-122.184357541899,49.9663865546218,1718.73010253906
-122.167597765363,49.9663865546218,1694.7900390625
-122.150837988827,49.9663865546218,1472.61010742188
-122.134078212291,49.9663865546218,1051.75012207031
-122.117318435754,49.9663865546218,1107.57971191406
-122.100558659218,49.9663865546218,916.869750976562
-122.083798882682,49.9663865546218,1088.84973144531
-122.067039106145,49.9663865546218,1616.49975585938
-122.050279329609,49.9663865546218,1918.73974609375
-122.033519553073,49.9663865546218,1727.86975097656
-122.016759776536,49.9663865546218,1605.55981445312
-122,49.9663865546218,1041.36975097656
-125,49.9495798319328,-101.995002746582
-124.983240223464,49.9495798319328,-156.565002441406
